Pic 1,Pic 2,Pic 3
[ 1.],[ 0.],[ 0.]
[ 0.],[ 0.],[ 0.]
[ 0.],[ 1.],[ 0.]
[ 3.],[ 2.],[ 0.]
[ 1.],[ 2.],[ 0.]
[ 4.],[ 1.],[ 0.]
[ 6.],[ 3.],[ 0.]
[ 10.],[ 5.],[ 0.]
[ 6.],[ 11.],[ 0.]
[ 13.],[ 10.],[ 0.]
[ 12.],[ 8.],[ 0.]
[ 16.],[ 11.],[ 1.]
[ 26.],[ 23.],[ 0.]
[ 20.],[ 17.],[ 0.]
[ 21.],[ 16.],[ 2.]
[ 34.],[ 17.],[ 0.]
[ 25.],[ 17.],[ 0.]
[ 28.],[ 16.],[ 2.]
[ 20.],[ 14.],[ 8.]
[ 14.],[ 16.],[ 9.]
[ 13.],[ 13.],[ 11.]
[ 15.],[ 16.],[ 20.]
[ 12.],[ 17.],[ 25.]
[ 14.],[ 9.],[ 40.]
[ 17.],[ 21.],[ 47.]
[ 13.],[ 20.],[ 49.]
[ 17.],[ 43.],[ 43.]
[ 14.],[ 51.],[ 59.]
[ 20.],[ 58.],[ 37.]
[ 24.],[ 70.],[ 43.]
[ 22.],[ 72.],[ 32.]
[ 12.],[ 89.],[ 24.]
[ 32.],[ 85.],[ 30.]
[ 16.],[ 96.],[ 38.]
[ 20.],[ 91.],[ 23.]
[ 32.],[ 98.],[ 41.]
[ 39.],[ 104.],[ 30.]
[ 35.],[ 72.],[ 27.]
[ 37.],[ 88.],[ 30.]
[ 43.],[ 89.],[ 42.]
[ 51.],[ 69.],[ 41.]
[ 66.],[ 58.],[ 37.]
[ 79.],[ 57.],[ 58.]
[ 56.],[ 38.],[ 55.]
[ 64.],[ 52.],[ 68.]
[ 58.],[ 53.],[ 62.]
[ 86.],[ 47.],[ 70.]
[ 115.],[ 45.],[ 76.]
[ 117.],[ 40.],[ 142.]
[ 125.],[ 54.],[ 192.]
[ 120.],[ 73.],[ 230.]
[ 148.],[ 79.],[ 228.]
[ 148.],[ 106.],[ 213.]
[ 180.],[ 86.],[ 205.]
[ 238.],[ 89.],[ 139.]
[ 177.],[ 92.],[ 130.]
[ 178.],[ 80.],[ 110.]
[ 160.],[ 55.],[ 120.]
[ 156.],[ 44.],[ 122.]
[ 137.],[ 65.],[ 86.]
[ 131.],[ 63.],[ 102.]
[ 121.],[ 73.],[ 87.]
[ 126.],[ 76.],[ 79.]
[ 147.],[ 89.],[ 92.]
[ 144.],[ 96.],[ 88.]
[ 184.],[ 83.],[ 91.]
[ 181.],[ 140.],[ 91.]
[ 223.],[ 138.],[ 83.]
[ 256.],[ 172.],[ 108.]
[ 299.],[ 189.],[ 123.]
[ 274.],[ 192.],[ 138.]
[ 232.],[ 205.],[ 169.]
[ 233.],[ 178.],[ 190.]
[ 186.],[ 160.],[ 170.]
[ 149.],[ 129.],[ 184.]
[ 122.],[ 97.],[ 178.]
[ 109.],[ 84.],[ 172.]
[ 93.],[ 69.],[ 125.]
[ 81.],[ 74.],[ 105.]
[ 91.],[ 72.],[ 94.]
[ 79.],[ 70.],[ 84.]
[ 81.],[ 84.],[ 77.]
[ 68.],[ 63.],[ 67.]
